Country,ISO2,ISO3,Indicator,Source,CTS Code,CTS Name,CTS Full Descriptor,Bond Type,Type of Issuer,Use of Proceed,Principal Currency,Unit,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Bangladeshi Taka,Share,,,,,,,,,,,,,,,,,,,0.0069458900683695
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Brazilian Real,Billion US Dollars,,,,,,,,,,,,,,,,,,,13.242620606
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Brazilian Real,Share,,,,,,,,,,,,,,,,,,,0.373752661585533
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,British Pound,Billion US Dollars,,,,,,,,,,,,,,,,,,,135.161211921
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,British Pound,Share,,,,,,,,,,,,,,,,,,,3.81471796267513
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Canadian Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,72.514300369
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Canadian Dollar,Share,,,,,,,,,,,,,,,,,,,2.04660494114337
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Chilean Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.02653111
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Chilean Peso,Share,,,,,,,,,,,,,,,,,,,0.0007487998993813
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Chilean Unidad de Fomento,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.569774
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Chilean Unidad de Fomento,Share,,,,,,,,,,,,,,,,,,,0.0160809975108514
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Chinese Yuan,Billion US Dollars,,,,,,,,,,,,,,,,,,,478.590932823
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Chinese Yuan,Share,,,,,,,,,,,,,,,,,,,13.5074952515256
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Colombian Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,4.16257267
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Colombian Peso,Share,,,,,,,,,,,,,,,,,,,0.117482231103926
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Colombian Unidad de Valor Real,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.046389984
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Colombian Unidad de Valor Real,Share,,,,,,,,,,,,,,,,,,,0.0013092861682569
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Costa Rican Colon,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.0080522
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Costa Rican Colon,Share,,,,,,,,,,,,,,,,,,,0.0002272609984956
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Czech Koruna,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.098818823
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Czech Koruna,Share,,,,,,,,,,,,,,,,,,,0.0027890097594629
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Danish Krone,Billion US Dollars,,,,,,,,,,,,,,,,,,,32.102985187
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Danish Krone,Share,,,,,,,,,,,,,,,,,,,0.906057533132517
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Dominican Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.013400124
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Dominican Peso,Share,,,,,,,,,,,,,,,,,,,0.0003781979533799
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Euro,Billion US Dollars,,,,,,,,,,,,,,,,,,,1568.131507175
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Euro,Share,,,,,,,,,,,,,,,,,,,44.2581073611096
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Fijian Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.051528034
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Fijian Dollar,Share,,,,,,,,,,,,,,,,,,,0.0014542997512927
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Georgian Lari,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.007207207
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Georgian Lari,Share,,,,,,,,,,,,,,,,,,,0.0002034123667053
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Hong Kong Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,12.592706772
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Hong Kong Dollar,Share,,,,,,,,,,,,,,,,,,,0.355409840139097
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Hungarian Forint,Billion US Dollars,,,,,,,,,,,,,,,,,,,3.46975064
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Hungarian Forint,Share,,,,,,,,,,,,,,,,,,,0.0979283916168781
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Icelandic Krona,Billion US Dollars,,,,,,,,,,,,,,,,,,,1.058021574
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Icelandic Krona,Share,,,,,,,,,,,,,,,,,,,0.0298610366529907
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Indian Rupee,Billion US Dollars,,,,,,,,,,,,,,,,,,,10.150754242
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Indian Rupee,Share,,,,,,,,,,,,,,,,,,,0.286489474245695
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Indonesian Rupiah,Billion US Dollars,,,,,,,,,,,,,,,,,,,6.117580813
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Indonesian Rupiah,Share,,,,,,,,,,,,,,,,,,,0.172659338310076
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Japanese Yen,Billion US Dollars,,,,,,,,,,,,,,,,,,,80.467180671
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Japanese Yen,Share,,,,,,,,,,,,,,,,,,,2.27106279345071
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Kazakhstani Tenge,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.227214597
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Kazakhstani Tenge,Share,,,,,,,,,,,,,,,,,,,0.0064127836103193
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Kenyan Shilling,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.00609775
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Kenyan Shilling,Share,,,,,,,,,,,,,,,,,,,0.0001720996440198
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Macanese Pataca,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.374746399
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Macanese Pataca,Share,,,,,,,,,,,,,,,,,,,0.010576642510047
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Malaysian Ringgit,Billion US Dollars,,,,,,,,,,,,,,,,,,,2.906781681
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Malaysian Ringgit,Share,,,,,,,,,,,,,,,,,,,0.0820394559540265
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Mexican Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,5.454111154
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Mexican Peso,Share,,,,,,,,,,,,,,,,,,,0.153933924488272
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Mexican Unidad de Inversion,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.432789278
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Mexican Unidad de Inversion,Share,,,,,,,,,,,,,,,,,,,0.0122148137721995
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Moroccan Dirham,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.117694313
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Moroccan Dirham,Share,,,,,,,,,,,,,,,,,,,0.0033217415227693
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Namibian Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.003583548
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Namibian Dollar,Share,,,,,,,,,,,,,,,,,,,0.0001011401476164
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,New Zealand Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,11.639885853
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,New Zealand Dollar,Share,,,,,,,,,,,,,,,,,,,0.328517930668454
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Nigerian Naira,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.048016585
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Nigerian Naira,Share,,,,,,,,,,,,,,,,,,,0.0013551944874013
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Norwegian Krone,Billion US Dollars,,,,,,,,,,,,,,,,,,,35.592169569
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Norwegian Krone,Share,,,,,,,,,,,,,,,,,,,1.00453441231943
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Peruvian Sol,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.163665078
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Peruvian Sol,Share,,,,,,,,,,,,,,,,,,,0.0046191958775432
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Philippine Peso,Billion US Dollars,,,,,,,,,,,,,,,,,,,1.090153621
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Philippine Peso,Share,,,,,,,,,,,,,,,,,,,0.0307679144112344
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Polish Zloty,Billion US Dollars,,,,,,,,,,,,,,,,,,,3.049430844
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Polish Zloty,Share,,,,,,,,,,,,,,,,,,,0.0860655098545696
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Romanian Leu,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.736268876
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Romanian Leu,Share,,,,,,,,,,,,,,,,,,,0.0207800600979921
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Russian Ruble,Billion US Dollars,,,,,,,,,,,,,,,,,,,3.933809217
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Russian Ruble,Share,,,,,,,,,,,,,,,,,,,0.11102573340788
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Singapore Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,17.313882054
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Singapore Dollar,Share,,,,,,,,,,,,,,,,,,,0.488657773456755
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,South African Rand,Billion US Dollars,,,,,,,,,,,,,,,,,,,3.195253613
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,South African Rand,Share,,,,,,,,,,,,,,,,,,,0.0901811339183466
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,South Korean Won,Billion US Dollars,,,,,,,,,,,,,,,,,,,26.215914673
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,South Korean Won,Share,,,,,,,,,,,,,,,,,,,0.739903994568384
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Sri Lankan Rupee,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.004851945
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Sri Lankan Rupee,Share,,,,,,,,,,,,,,,,,,,0.0001369387080979
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Swedish Krona,Billion US Dollars,,,,,,,,,,,,,,,,,,,112.878169111
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Swedish Krona,Share,,,,,,,,,,,,,,,,,,,3.18581324613523
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Swiss Franc,Billion US Dollars,,,,,,,,,,,,,,,,,,,40.147616303
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Swiss Franc,Share,,,,,,,,,,,,,,,,,,,1.13310491148273
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Taiwanese Dollar,Billion US Dollars,,,,,,,,,,,,,,,,,,,12.20561772
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Taiwanese Dollar,Share,,,,,,,,,,,,,,,,,,,0.344484845173216
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Thai Baht,Billion US Dollars,,,,,,,,,,,,,,,,,,,4.713642951
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Thai Baht,Share,,,,,,,,,,,,,,,,,,,0.133035344824568
World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Turkish Lira,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.246898452
