Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Albania,AL,ALB,"Climate related disasters frequency, Number of People Affected: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,3200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,AL,ALB,"Climate related disasters frequency, Number of People Affected: Extreme temperature",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,7085.0,,,,,,,,,,,,,,,,,,,0.0,,,150.0,,,,,230000.0,,,,,0.0,,,,,0.0,0.0,
Albania,AL,ALB,"Climate related disasters frequency, Number of People Affected: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,35000.0,,,3500.0,,8000.0,,,,,66884.0,,2500.0,500.0,,,,6600.0,14000.0,,,,,42300.0,4500.0,21002.0,800.0,,,84.0,,,
Albania,AL,ALB,"Climate related disasters frequency, Number of People Affected: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,AL,ALB,"Climate related disasters frequency, Number of People Affected: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,,,,,,125000.0,,,400000.0,,,,,,,,,,,,,,,,,,,
Albania,AL,ALB,"Climate related disasters frequency, Number of People Affected: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,7111.0,,,,3200000.0,,,35000.0,,,3500.0,,8000.0,,,,,191884.0,,2500.0,400500.0,,225.0,,6600.0,14000.0,,230000.0,,,42300.0,4500.0,21002.0,800.0,,,84.0,0.0,0.0,
Albania,AL,ALB,"Climate related disasters frequency, Number of People Affected: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,
Algeria,DZ,DZA,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZ,DZA,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,
Algeria,DZ,DZA,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,6.0,1.0,2.0,,1.0,2.0,,,2.0,,,1.0,,,2.0,,1.0,2.0
